wavelength,phase
669.3527989476963,71.17452263418699
669.8144847954144,71.07895013999145
670.2761706431324,70.98362200532372
670.7378564908504,70.88853537076079
671.1995423385684,70.79368737687949
671.6612281862865,70.69907516425673
672.1229140340045,70.60469587346947
672.5845998817225,70.51054664509454
673.0462857294406,70.4166246197089
673.5079715771585,70.32292693788945
673.9696574248766,70.22945074021305
674.4313432725946,70.13619316725668
674.8930291203126,70.04315135959722
675.3547149680306,69.95032245781152
675.8164008157487,69.85770360247659
676.2780866634666,69.76529193416926
676.7397725111847,69.67308459346643
677.2014583589028,69.58107872094503
677.6631442066207,69.489271457182
678.1248300543388,69.39765994275419
678.5865159020568,69.30624131823852
679.0482017497748,69.21501272421193
679.5098875974928,69.12397130125129
679.9715734452109,69.03311418993351
680.4332592929288,68.94243853083552
680.8949451406469,68.8519414645342
681.3566309883649,68.76162013160646
681.8183168360829,68.67147167262924
682.280002683801,68.58149322817938
682.741688531519,68.49168193883384
683.203374379237,68.40203494516952
683.665060226955,68.31254938776331
684.1267460746731,68.22322240719211
684.588431922391,68.13405114403287
685.0501177701091,68.04503273886242
685.5118036178271,67.95616433225774
685.9734894655451,67.86744306479572
686.4351753132631,67.77886607705322
686.8968611609812,67.6904305096072
687.3585470086991,67.60213350303455
687.8202328564172,67.51397219791217
688.2819187041353,67.42594373481697
688.7436045518532,67.33804525432583
689.2052903995713,67.2502738970157
689.6669762472893,67.16262680346345
690.1286620950074,67.07510111424601
690.5903479427253,66.98769396994031
691.0520337904434,66.90040251112319
691.5137196381614,66.81322387837159
691.9754054858794,66.72615521226246
692.4370913335974,66.63919365337263
692.8987771813155,66.552336342279
693.3604630290336,66.46558041955856
693.8221488767515,66.37892302578818
694.2838347244696,66.29236130154474
694.7455205721876,66.20589238740519
695.2072064199056,66.11951342394639
695.6688922676236,66.03322155174527
696.1305781153417,65.9470139113787
696.5922639630596,65.86088764342367
697.0539498107777,65.77483988845701
697.5156356584957,65.68886778705564
697.9773215062137,65.6029684797965
698.4390073539317,65.51713910725647
698.9006932016498,65.43137681001245
699.3623790493677,65.34567872864137
699.8240648970858,65.2600420037201
